Coefficient,MAE,ExpVar
2.806302093907097,6.903861802988329,0.598704311667656
1.3322676295501878e-15,6.903861802988329,0.598704311667656
8.881784197001252e-16,6.903861802988329,0.598704311667656
2.220446049250313e-15,6.903861802988329,0.598704311667656
0.5919083408342761,6.903861802988329,0.598704311667656
1.6119171067610594,6.903861802988329,0.598704311667656
0.02134621263880756,6.903861802988329,0.598704311667656
1.0841368953075816,6.903861802988329,0.598704311667656
0.6203699699649173,6.903861802988329,0.598704311667656
0.5670099667987535,6.903861802988329,0.598704311667656
0.8984660654134405,6.903861802988329,0.598704311667656
0.613817965434116,6.903861802988329,0.598704311667656
1.1659132639302625,6.903861802988329,0.598704311667656
1.9151044669620123,6.903861802988329,0.598704311667656
1.025084680335636,6.903861802988329,0.598704311667656
1.7828325047100329,6.903861802988329,0.598704311667656
0.2250556527056641,6.903861802988329,0.598704311667656
1.1903708992284356,6.903861802988329,0.598704311667656
12.084045001809656,6.903861802988329,0.598704311667656
1.3883878358228217,6.903861802988329,0.598704311667656
0.5922291626000646,6.903861802988329,0.598704311667656
1.1020061787551871,6.903861802988329,0.598704311667656
